Key,kr,en,es
Tutorial01_26,"별나무의 힘...그래, 별꿀! 별꿀을 모아야 해!","The power of the Star Tree... right, Star Honey! We need to collect Star Honey!","El poder del Árbol Estrella... ¡Claro, Miel Estrella! ¡Debemos recolectar Miel Estrella!"
Tutorial01_27,어딘가에 별꽃 씨앗이 남아 있을지도 몰라! 서두르자!,There might still be Star Flower seeds somewhere! Let’s hurry!,¡Quizás aún queden semillas de la Flor Estrella en algún lugar! ¡Vamos rápido!
Tutorial01_28,으...어라? 이건...별꿀?,Huh... what? Is this... Star Honey?,Eh... ¿qué? ¿Esto es... Miel Estrella?
Tutorial01_29,휴...! 다시 기운을 차렸네. 다행이야.,Phew...! You’ve regained your strength. Thank goodness.,Uf... ¡Recuperaste tus fuerzas! Qué alivio.
Tutorial01_30,네가 별꿀을 구해 준 거야...? 우와! 정말 고마워!,Did you brought the Star Honey...? Wow! Thank you so much!,¿Ustedes trajeron la Miel Estrella...? ¡Guau! ¡Muchas gracias!
Tutorial01_31,그런데 도대체 어떻게 구한거야? 이 근처에 별꽃은 더 이상 없을 텐데!,But how did you even get it? There shouldn’t be any Star Flowers left around here!,¿Pero cómo la consiguieron? ¡Ya no debería haber Flores Estrella por aquí!
Tutorial01_32,다행히 여기에 아직 싹을 틔우지 못한 씨앗들이 남아 있더라고.,"Luckily, there were still some seeds that hadn’t sprouted yet.","Afortunadamente, aún quedaban semillas que no habían brotado."
Tutorial01_33,이렇게 말라버린 땅에서 꽃을 피웠다고? 대단해!,You made them bloom in this dry land? That’s amazing!,¿Hicieron florecer en esta tierra seca? ¡Increíble!
Tutorial01_34,너는 대체 누구야?,"Who are you, anyway?","¿Quiénes son ustedes, de todos modos?"
Tutorial01_35,나는 리비야.,I’m Ribee.,Soy Ribee.
Tutorial01_36,반가워! 나는 알타라고 해.,Nice to meet you! I’m Alta.,¡Encantado de conocerte! Soy Alta.
Tutorial01_37,너는 어쩌다 그 위험한 곳을 떠돌고 있었던 거야?,How did you end up wandering around in that dangerous place?,¿Cómo terminaste vagando por ese lugar peligroso?
Tutorial01_38,나는 정말 오랫동안 별나무를 찾아서 여행 중이었어!,"I’ve been traveling for a long time, searching for the Star Tree!",¡He estado viajando mucho tiempo buscando el Árbol Estrella!
Tutorial01_39,알타 너 같은 별나무 말이야!,"A Star Tree like you, Alta!","¡Un Árbol Estrella como tú, Alta!"
Tutorial01_40,뭐? 나를 찾아다녔다고? 왜?,What? You were looking for me? Why?,¿Qué? ¿Me estabas buscando? ¿Por qué?
Tutorial01_41,왜긴! 새로운 별을 키우고 우주를 구하기 위해서지!,"Why? To grow new stars and save the universe, of course!","¿Por qué? ¡Para hacer crecer nuevas estrellas y salvar el universo, por supuesto!"
Tutorial01_42,새로운 별...? 우주를 구해...?,New stars...? Save the universe...?,¿Nuevas estrellas...? ¿Salvar el universo...?
Tutorial01_43,우와! 그거 멋있다!,Wow! That sounds amazing!,¡Guau! ¡Eso suena increíble!
Tutorial01_44,"그치! 상상해 봐, 네 가지에 맺혀있던 별이 우주를 다시 채우는 모습을...","Right! Imagine, the stars that once grew on your branches filling the universe again...","¡Exacto! Imagina, las estrellas que crecían en tus ramas llenando el universo de nuevo..."
Tutorial01_45,음...우와아...,Hmm... wow...,Hmm... guau...
Tutorial01_46,앗...! 그런데 어쩌지...? 나는 아직 별이 맺힐 가지가 없는데...,Oh...! But what should I do...? I don’t have any branches for stars yet...,Oh... ¡Pero qué hago...? No tengo ramas donde crezcan las estrellas aún...
Tutorial01_47,별이 부서지고 별꿀이 다 말라버린 뒤론 전혀 자라지 못해서...,"Ever since the stars broke and all the Star Honey dried up, I haven’t been able to grow at all...","Desde que las estrellas se rompieron y toda la Miel Estrella se secó, no he podido crecer..."
Tutorial01_48,음... 이럴 땐 어떻게 해야...,Hmm... what should I do in a time like this...,Hmm... ¿qué debería hacer en este momento...?
Tutorial01_49,...아! 좋은 생각이 났어!,...Ah! I have a great idea!,¡Ah! ¡Se me ocurrió una gran idea!
Tutorial01_50,"알타, 혹시 아직 별꽃이 필 만한 다른 땅을 찾아줄 수 있어?","Alta, could you perhaps find another place where Star Flowers might bloom?","Alta, ¿podrías encontrar otro lugar donde florezcan las Flores Estrella?"
Tutorial01_51,내가 별꿀을 모아 올게.,I’ll gather Star Honey for you.,Iré a recolectar Miel Estrella.
Tutorial01_52,...정말?,...Really?,¿De verdad?
Tutorial01_53,그럼! 나만 믿어!,Of course! Just trust me!,¡Claro! ¡Confía en mí!
Tutorial01_54,알았어! 잠깐만 기다려줘!,Got it! Wait for me just a moment!,¡De acuerdo! ¡Espera un momento!
Tutorial01_55,으음...한 군데 있긴 한데...우주 벌레들이 주변에 잔뜩 있어.,"Hmm... there is one place, but there are a lot of space bugs around it.","Hmm... hay un lugar, pero está lleno de insectos espaciales alrededor."
Tutorial01_56,하지만 걱정 마! 내 포탈을 타고 가면 다치지 않게 지켜 줄 수 있어!,"But don’t worry! If you take my portal, I can protect you so you won’t get hurt!","¡Pero no te preocupes! Si usas mi portal, puedo protegerte para que no te hagas daño."
Tutorial01_57,뭐? 그게 정말이야?,What? Is that really true?,¿Qué? ¿Eso es verdad?
Tutorial01_58,그럼! 나만 믿어!,Yes! Just trust me!,¡Claro! ¡Solo confía en mí!
Tutorial01_59,"...아직 오랫동안은 힘들지만, 그래도 나한테 맡겨 줘!","...It’ll be difficult for a long time, but still, leave it to me!","...Aún será difícil por un tiempo, pero déjamelo a mí."
Tutorial01_60,"좋아! 알타, 부탁할게!","Okay! Alta, I’ll count on you!","¡Está bien! ¡Alta, cuento contigo!"
